timestamp,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,cloud_cover,ghi,direct_normal_irradiance,diffuse_radiation,ghi_clearsky,pv_power_predicted
2024-01-13 13:00:00,29.7,75,0.0,10.2,99,721.0,464.6,302.0,934.4735141170072,707.4452
2024-01-13 14:00:00,29.8,75,0.1,11.6,100,762.0,556.9,252.0,912.9530452872355,747.3696
2024-01-13 15:00:00,28.9,76,1.5,9.4,100,538.0,354.2,231.0,816.7231902131153,529.6072
2024-01-13 16:00:00,27.5,82,1.1,12.3,100,385.0,213.7,223.0,653.2088917898852,381.15
2024-01-13 17:00:00,27.4,82,0.5,14.5,100,247.0,144.0,161.0,436.1529243722388,244.6288
2024-01-13 18:00:00,26.9,84,0.1,15.4,100,229.0,162.0,165.0,190.05897302649842,227.2596
2024-01-13 19:00:00,26.0,87,0.0,11.5,100,77.0,71.8,65.0,3.8187441202822177,76.692
2024-01-14 08:00:00,23.8,98,0.1,8.3,100,17.0,0.0,17.0,87.03189107731355,17.081599999999998
2024-01-14 09:00:00,25.9,91,0.1,12.2,100,97.0,23.7,90.0,329.26462796203526,96.65079999999999
2024-01-14 10:00:00,26.3,92,1.0,13.7,100,246.0,125.0,182.0,563.6777791032732,244.7208
2024-01-14 11:00:00,26.7,86,0.5,15.2,100,200.0,15.9,189.0,753.3299460372916,198.64
2024-01-14 12:00:00,28.4,74,0.0,15.8,100,553.0,192.4,394.0,880.8822675498069,545.4792
2024-01-14 13:00:00,28.7,72,0.0,16.7,100,476.0,147.3,343.0,936.2268930771723,468.9552
2024-01-14 14:00:00,29.5,68,0.0,18.3,99,737.0,415.5,356.0,915.1628042717778,723.734
2024-01-14 15:00:00,29.7,68,0.0,15.9,51,654.0,361.6,340.0,819.2685176817494,641.7048
2024-01-14 16:00:00,29.6,68,0.7,16.6,65,566.0,460.6,216.0,655.9338462721548,555.5856
2024-01-14 17:00:00,28.5,77,1.2,13.4,96,463.0,484.1,173.0,438.85383846027185,456.518
2024-01-14 18:00:00,27.8,80,0.1,11.3,100,208.0,231.9,116.0,192.38200355373425,205.6704
2024-01-14 19:00:00,27.0,83,0.0,9.1,97,72.0,107.2,54.0,4.206628758623692,71.424
2024-01-15 08:00:00,24.5,94,0.0,9.8,100,30.0,44.0,25.0,86.23033264639439,30.06
2024-01-15 09:00:00,26.1,90,0.7,12.6,100,106.0,37.3,95.0,328.80160247787245,105.5336
2024-01-15 10:00:00,26.8,86,0.2,16.5,100,238.0,76.2,199.0,563.7679391201326,236.28640000000001
2024-01-15 11:00:00,27.8,81,0.2,17.0,100,417.0,150.1,313.0,754.0098347453276,412.3296
2024-01-15 12:00:00,28.9,77,0.2,15.0,100,570.0,290.3,330.0,882.1417755343001,561.1080000000001
2024-01-15 13:00:00,29.3,76,0.4,15.1,100,612.0,283.3,356.0,938.0164318801943,601.4736
2024-01-15 14:00:00,28.6,82,3.4,10.4,100,684.0,311.4,398.0,917.3953075877192,674.1504
2024-01-15 15:00:00,26.8,85,6.3,9.0,100,413.0,97.7,328.0,821.8220650059876,410.0264
2024-01-15 16:00:00,27.6,85,0.4,8.7,100,378.0,116.9,289.0,658.6526604144775,374.0688
2024-01-15 17:00:00,26.3,87,5.8,10.4,100,302.0,113.2,234.0,441.5362484764831,300.4296
