2024-01-01 00:00 → 2026-09-15 23:59 UTC: 78131 scans to process (32 workers)
  [43200/78131] ok=42530 missing=670 error=0 (16883 scans/h, ETA 2.1 h)
  [43400/78131] ok=42726 missing=674 error=0 (16894 scans/h, ETA 2.1 h)
  [43600/78131] ok=42923 missing=677 error=0 (16893 scans/h, ETA 2.0 h)
  [43800/78131] ok=43121 missing=679 error=0 (16889 scans/h, ETA 2.0 h)
  [44000/78131] ok=43319 missing=681 error=0 (16893 scans/h, ETA 2.0 h)
  [44200/78131] ok=43516 missing=684 error=0 (16870 scans/h, ETA 2.0 h)
  [44400/78131] ok=43713 missing=687 error=0 (16869 scans/h, ETA 2.0 h)
  [44600/78131] ok=43910 missing=690 error=0 (16879 scans/h, ETA 2.0 h)
  [44800/78131] ok=44107 missing=693 error=0 (16891 scans/h, ETA 2.0 h)
  [45000/78131] ok=44305 missing=695 error=0 (16903 scans/h, ETA 2.0 h)
  [45200/78131] ok=44502 missing=698 error=0 (16921 scans/h, ETA 1.9 h)
  [45400/78131] ok=44700 missing=700 error=0 (16941 scans/h, ETA 1.9 h)
  [45600/78131] ok=44897 missing=703 error=0 (16961 scans/h, ETA 1.9 h)
  [45800/78131] ok=45093 missing=707 error=0 (16978 scans/h, ETA 1.9 h)
  [46000/78131] ok=45290 missing=710 error=0 (16987 scans/h, ETA 1.9 h)
  [46200/78131] ok=45488 missing=712 error=0 (17004 scans/h, ETA 1.9 h)
  [46400/78131] ok=45685 missing=715 error=0 (17005 scans/h, ETA 1.9 h)
  [46600/78131] ok=45882 missing=718 error=0 (17006 scans/h, ETA 1.9 h)
  [46800/78131] ok=46078 missing=722 error=0 (17008 scans/h, ETA 1.8 h)
  [47000/78131] ok=46276 missing=724 error=0 (17015 scans/h, ETA 1.8 h)
  [47200/78131] ok=46473 missing=727 error=0 (17018 scans/h, ETA 1.8 h)
  [47400/78131] ok=46670 missing=730 error=0 (17024 scans/h, ETA 1.8 h)
  [47600/78131] ok=46867 missing=733 error=0 (17021 scans/h, ETA 1.8 h)
  [47800/78131] ok=47064 missing=736 error=0 (17032 scans/h, ETA 1.8 h)
  [48000/78131] ok=47261 missing=739 error=0 (17054 scans/h, ETA 1.8 h)
  [48200/78131] ok=47458 missing=742 error=0 (17062 scans/h, ETA 1.8 h)
  [48400/78131] ok=47656 missing=744 error=0 (17055 scans/h, ETA 1.7 h)
  [48600/78131] ok=47853 missing=747 error=0 (17019 scans/h, ETA 1.7 h)
  [48800/78131] ok=48050 missing=750 error=0 (16994 scans/h, ETA 1.7 h)
  [49000/78131] ok=48247 missing=753 error=0 (16990 scans/h, ETA 1.7 h)
  [49200/78131] ok=48444 missing=756 error=0 (17006 scans/h, ETA 1.7 h)
  [49400/78131] ok=48641 missing=759 error=0 (17028 scans/h, ETA 1.7 h)
  [49600/78131] ok=48839 missing=761 error=0 (17046 scans/h, ETA 1.7 h)
  [49800/78131] ok=49036 missing=764 error=0 (17068 scans/h, ETA 1.7 h)
  [50000/78131] ok=49233 missing=767 error=0 (17092 scans/h, ETA 1.6 h)
  [50200/78131] ok=49429 missing=771 error=0 (17108 scans/h, ETA 1.6 h)
  [50400/78131] ok=49626 missing=774 error=0 (17127 scans/h, ETA 1.6 h)
  [50600/78131] ok=49824 missing=776 error=0 (17135 scans/h, ETA 1.6 h)
  [50800/78131] ok=50021 missing=779 error=0 (17143 scans/h, ETA 1.6 h)
  [51000/78131] ok=50218 missing=782 error=0 (17150 scans/h, ETA 1.6 h)
  [51200/78131] ok=50415 missing=785 error=0 (17151 scans/h, ETA 1.6 h)
  [51400/78131] ok=50546 missing=854 error=0 (17176 scans/h, ETA 1.6 h)
  [51600/78131] ok=50730 missing=870 error=0 (17179 scans/h, ETA 1.5 h)
  [51800/78131] ok=50927 missing=873 error=0 (17182 scans/h, ETA 1.5 h)
  [52000/78131] ok=51124 missing=876 error=0 (17173 scans/h, ETA 1.5 h)
  [52200/78131] ok=51322 missing=878 error=0 (17159 scans/h, ETA 1.5 h)
  [52400/78131] ok=51519 missing=881 error=0 (17163 scans/h, ETA 1.5 h)
  [52600/78131] ok=51716 missing=884 error=0 (17165 scans/h, ETA 1.5 h)
  [52800/78131] ok=51913 missing=887 error=0 (17176 scans/h, ETA 1.5 h)
  [53000/78131] ok=52108 missing=892 error=0 (17191 scans/h, ETA 1.5 h)
  [53200/78131] ok=52306 missing=894 error=0 (17191 scans/h, ETA 1.5 h)
  [53400/78131] ok=52503 missing=897 error=0 (17194 scans/h, ETA 1.4 h)
  [53600/78131] ok=52701 missing=899 error=0 (17198 scans/h, ETA 1.4 h)
  [53800/78131] ok=52897 missing=903 error=0 (17188 scans/h, ETA 1.4 h)
  [54000/78131] ok=53094 missing=906 error=0 (17164 scans/h, ETA 1.4 h)
  [54200/78131] ok=53291 missing=909 error=0 (17159 scans/h, ETA 1.4 h)
  [54400/78131] ok=53489 missing=911 error=0 (17105 scans/h, ETA 1.4 h)
  [54600/78131] ok=53686 missing=914 error=0 (17095 scans/h, ETA 1.4 h)
python: No such file or directory
2024-01-01 00:00 → 2026-09-15 23:59 UTC: 23447 scans to process (32 workers)
  [200/23447] ok=197 missing=3 error=0 (12664 scans/h, ETA 1.8 h)
  [400/23447] ok=394 missing=6 error=0 (8131 scans/h, ETA 2.8 h)
  [600/23447] ok=592 missing=8 error=0 (9808 scans/h, ETA 2.3 h)
  [800/23447] ok=789 missing=11 error=0 (11090 scans/h, ETA 2.0 h)
  [1000/23447] ok=986 missing=14 error=0 (11950 scans/h, ETA 1.9 h)
  [1200/23447] ok=1183 missing=17 error=0 (12583 scans/h, ETA 1.8 h)
  [1400/23447] ok=1380 missing=20 error=0 (13069 scans/h, ETA 1.7 h)
  [1600/23447] ok=1578 missing=22 error=0 (13277 scans/h, ETA 1.6 h)
  [1800/23447] ok=1775 missing=25 error=0 (13509 scans/h, ETA 1.6 h)
  [2000/23447] ok=1973 missing=27 error=0 (13742 scans/h, ETA 1.6 h)
  [2200/23447] ok=2169 missing=31 error=0 (14282 scans/h, ETA 1.5 h)
  [2400/23447] ok=2367 missing=33 error=0 (14768 scans/h, ETA 1.4 h)
  [2600/23447] ok=2564 missing=36 error=0 (15265 scans/h, ETA 1.4 h)
  [2800/23447] ok=2762 missing=38 error=0 (15592 scans/h, ETA 1.3 h)
  [3000/23447] ok=2954 missing=46 error=0 (15743 scans/h, ETA 1.3 h)
  [3200/23447] ok=3151 missing=49 error=0 (15727 scans/h, ETA 1.3 h)
  [3400/23447] ok=3348 missing=52 error=0 (15834 scans/h, ETA 1.3 h)
  [3600/23447] ok=3546 missing=54 error=0 (15933 scans/h, ETA 1.2 h)
  [3800/23447] ok=3743 missing=57 error=0 (16020 scans/h, ETA 1.2 h)
  [4000/23447] ok=3940 missing=60 error=0 (16168 scans/h, ETA 1.2 h)
  [4200/23447] ok=4137 missing=63 error=0 (16303 scans/h, ETA 1.2 h)
  [4400/23447] ok=4334 missing=66 error=0 (16386 scans/h, ETA 1.2 h)
  [4600/23447] ok=4531 missing=69 error=0 (16282 scans/h, ETA 1.2 h)
  [4800/23447] ok=4728 missing=72 error=0 (16268 scans/h, ETA 1.1 h)
  [5000/23447] ok=4926 missing=74 error=0 (16209 scans/h, ETA 1.1 h)
  [5200/23447] ok=5122 missing=78 error=0 (16308 scans/h, ETA 1.1 h)
  [5400/23447] ok=5318 missing=82 error=0 (16238 scans/h, ETA 1.1 h)
  [5600/23447] ok=5515 missing=85 error=0 (16231 scans/h, ETA 1.1 h)
  [5800/23447] ok=5713 missing=87 error=0 (16105 scans/h, ETA 1.1 h)
  [6000/23447] ok=5910 missing=90 error=0 (16063 scans/h, ETA 1.1 h)
  [6200/23447] ok=6107 missing=93 error=0 (16093 scans/h, ETA 1.1 h)
  [6400/23447] ok=6304 missing=96 error=0 (16159 scans/h, ETA 1.1 h)
  [6600/23447] ok=6501 missing=99 error=0 (16182 scans/h, ETA 1.0 h)
  [6800/23447] ok=6698 missing=102 error=0 (16127 scans/h, ETA 1.0 h)
  [7000/23447] ok=6896 missing=104 error=0 (16111 scans/h, ETA 1.0 h)
  [7200/23447] ok=7093 missing=107 error=0 (16086 scans/h, ETA 1.0 h)
  [7400/23447] ok=7291 missing=109 error=0 (16200 scans/h, ETA 1.0 h)
  [7600/23447] ok=7487 missing=113 error=0 (16327 scans/h, ETA 1.0 h)
  [7800/23447] ok=7684 missing=116 error=0 (16452 scans/h, ETA 1.0 h)
  [8000/23447] ok=7882 missing=118 error=0 (16598 scans/h, ETA 0.9 h)
  [8200/23447] ok=8079 missing=121 error=0 (16749 scans/h, ETA 0.9 h)
  [8400/23447] ok=8277 missing=123 error=0 (16926 scans/h, ETA 0.9 h)
  [8600/23447] ok=8474 missing=126 error=0 (17063 scans/h, ETA 0.9 h)
  [8800/23447] ok=8671 missing=129 error=0 (17203 scans/h, ETA 0.9 h)
  [9000/23447] ok=8868 missing=132 error=0 (17359 scans/h, ETA 0.8 h)
  [9200/23447] ok=9066 missing=134 error=0 (17485 scans/h, ETA 0.8 h)
